pressure_kpa,velocity_mps,mass_kg,max_force_N,permanent_deformation_mm
0.0,10.0,3.0,2094.1322838896876,46.097977962214095
0.0,10.0,4.0,2094.1322838896876,58.97664572670709
0.0,10.0,5.0,2094.1322838896876,71.11402838254331
0.0,10.0,6.0,2094.1322838896876,82.65611065374209
100.0,2.0,2.0,2225.7812972098573,0.6746055417742765
100.0,2.0,3.0,2225.7812972098573,1.4268357664097155
100.0,2.0,4.0,2225.7812972098573,2.1641827825581754
100.0,2.0,5.0,2225.7812972098573,2.8879966587589414
100.0,2.0,6.0,2225.7812972098573,3.6008034561589306
100.0,3.0,2.0,2225.7812972098573,2.526820283132125
100.0,3.0,3.0,2225.7812972098573,4.128248697960333
100.0,3.0,4.0,2225.7812972098573,5.6785998011126795
100.0,3.0,5.0,2225.7812972098573,7.187064284380824
100.0,3.0,6.0,2225.7812972098573,8.65891288563523
100.0,4.0,2.0,2225.7812972098573,4.993972561276866
100.0,4.0,3.0,2225.7812972098573,7.681280201005557
100.0,4.0,4.0,2225.7812972098573,10.258168714777014
100.0,4.0,5.0,2225.7812972098573,12.746588236325252
100.0,4.0,6.0,2225.7812972098573,15.16027934131451
100.0,5.0,2.0,2225.7812972098573,8.008728905074138
100.0,5.0,3.0,2225.7812972098573,11.976892985152938
100.0,5.0,4.0,2225.7812972098573,15.753397140065221
100.0,5.0,5.0,2225.7812972098573,19.376354691240127
100.0,5.0,6.0,2225.7812972098573,22.873013251480387
100.0,6.0,2.0,2225.7812972098573,11.512134289391819
100.0,6.0,3.0,2225.7812972098573,16.927131970681803
100.0,6.0,4.0,2225.7812972098573,22.04370874113185
100.0,6.0,5.0,2225.7812972098573,26.925454239590756
100.0,6.0,6.0,2225.7812972098573,31.615627573220728
100.0,7.0,2.0,2225.7812972098573,15.456689379504658
100.0,7.0,3.0,2225.7812972098573,22.458113949957657
100.0,7.0,4.0,2225.7812972098573,29.03154018549449
100.0,7.0,5.0,2225.7812972098573,35.27321003330603
100.0,7.0,6.0,2225.7812972098573,41.245703120469265
100.0,8.0,2.0,2225.7812972098573,19.801748336305128
100.0,8.0,3.0,2225.7812972098573,28.50812464078697
100.0,8.0,4.0,2225.7812972098573,36.635113226688766
100.0,8.0,5.0,2225.7812972098573,44.32031380639061
100.0,8.0,6.0,2225.7812972098573,51.649138601046666
100.0,9.0,2.0,2225.7812972098573,24.50984072687977
100.0,9.0,3.0,2225.7812972098573,35.023447356136856
100.0,9.0,4.0,2225.7812972098573,44.78785190138562
100.0,9.0,5.0,2225.7812972098573,53.986642006777245
100.0,9.0,6.0,2225.7812972098573,62.73119538046057
100.0,10.0,2.0,2225.7812972098573,29.551203223977637
100.0,10.0,3.0,2225.7812972098573,41.96009506106451
100.0,10.0,4.0,2225.7812972098573,53.43249663035069
100.0,10.0,5.0,2225.7812972098573,64.20240410425572
100.0,10.0,6.0,2225.7812972098573,74.41455543523004
200.0,2.0,2.0,2357.430310530027,0.7450089486710113
200.0,2.0,3.0,2357.430310530027,1.4492375209277308
200.0,2.0,4.0,2357.430310530027,2.1385431667141086
200.0,2.0,5.0,2357.430310530027,2.814683287770268
200.0,2.0,6.0,2357.430310530027,3.478593335639616
200.0,3.0,2.0,2357.430310530027,2.47819597226761
200.0,3.0,3.0,2357.430310530027,3.968979197419749
200.0,3.0,4.0,2357.430310530027,5.410316479639895
200.0,3.0,5.0,2357.430310530027,6.80978233015662
200.0,3.0,6.0,2357.430310530027,8.173970785457266
200.0,4.0,2.0,2357.430310530027,4.774734485995218
200.0,4.0,3.0,2357.430310530027,7.2682359283979014
200.0,4.0,4.0,2357.430310530027,9.65321023031659
200.0,4.0,5.0,2357.430310530027,11.951726750826303
200.0,4.0,6.0,2357.430310530027,14.177850744119961
200.0,5.0,2.0,2357.430310530027,7.57153687520062
200.0,5.0,3.0,2357.430310530027,11.242063645204192
200.0,5.0,4.0,2357.430310530027,14.723546725514241
200.0,5.0,5.0,2357.430310530027,18.057746102981792
200.0,5.0,6.0,2357.430310530027,21.26864476031153
200.0,6.0,2.0,2357.430310530027,10.811425267674917
200.0,6.0,3.0,2357.430310530027,15.804996026869384
200.0,6.0,4.0,2357.430310530027,20.508219023435615
200.0,6.0,5.0,2357.430310530027,24.985113851044286
200.0,6.0,6.0,2357.430310530027,29.278356272862165
200.0,7.0,2.0,2357.430310530027,14.450807830789081
200.0,7.0,3.0,2357.430310530027,20.88862976785112
200.0,7.0,4.0,2357.430310530027,26.913535682097894
200.0,7.0,5.0,2357.430310530027,32.62231683306181
200.0,7.0,6.0,2357.430310530027,38.07432915220078
200.0,8.0,2.0,2357.430310530027,18.447310533431445
200.0,8.0,3.0,2357.430310530027,26.433891279572684
200.0,8.0,4.0,2357.430310530027,33.866554318167
200.0,8.0,5.0,2357.430310530027,40.87727901558927
200.0,8.0,6.0,2357.430310530027,47.55063744752429
200.0,9.0,2.0,2357.430310530027,22.770964890708633
200.0,9.0,3.0,2357.430310530027,32.39314384277534
200.0,9.0,4.0,2357.430310530027,41.30277733671366
200.0,9.0,5.0,2357.430310530027,49.67600696988104
200.0,9.0,6.0,2357.430310530027,57.62165806825422
200.0,10.0,2.0,2357.430310530027,27.38950763621194
200.0,10.0,3.0,2357.430310530027,38.72501096081202
200.0,10.0,4.0,2357.430310530027,49.17155545504275
200.0,10.0,5.0,2357.430310530027,58.95647995084376
200.0,10.0,6.0,2357.430310530027,68.21666552038336
300.0,2.0,2.0,2489.0793238501965,0.7653374118473019
300.0,2.0,3.0,2489.0793238501965,1.4292432197802805
300.0,2.0,4.0,2489.0793238501965,2.0765452349595823
300.0,2.0,5.0,2489.0793238501965,2.711462736953411
300.0,2.0,6.0,2489.0793238501965,3.3348462064187276
300.0,3.0,2.0,2489.0793238501965,2.3956295353629806
300.0,3.0,3.0,2489.0793238501965,3.795039656113117
300.0,3.0,4.0,2489.0793238501965,5.14444312528057
300.0,3.0,5.0,2489.0793238501965,6.454080689599829
300.0,3.0,6.0,2489.0793238501965,7.728800401572824
300.0,4.0,2.0,2489.0793238501965,4.55036908979545
300.0,4.0,3.0,2489.0793238501965,6.882823544546537
300.0,4.0,4.0,2489.0793238501965,9.110025969869753
300.0,4.0,5.0,2489.0793238501965,11.253472254486587
300.0,4.0,6.0,2489.0793238501965,13.32686604981801
300.0,5.0,2.0,2489.0793238501965,7.165817726625526
300.0,5.0,3.0,2489.0793238501965,10.59152987046332
300.0,5.0,4.0,2489.0793238501965,13.835395416681
300.0,5.0,5.0,2489.0793238501965,16.936315801877452
300.0,5.0,6.0,2489.0793238501965,19.919829879308107
300.0,6.0,2.0,2489.0793238501965,10.19072828519299
300.0,6.0,3.0,2489.0793238501965,14.841618237190522
300.0,6.0,4.0,2489.0793238501965,19.213275831523504
300.0,6.0,5.0,2489.0793238501965,23.368409795339986
300.0,6.0,6.0,2489.0793238501965,27.348063948771333
300.0,7.0,2.0,2489.0793238501965,13.58116493219882
300.0,7.0,3.0,2489.0793238501965,19.56636008879504
300.0,7.0,4.0,2489.0793238501965,25.15684413408862
300.0,7.0,5.0,2489.0793238501965,30.44497041283849
300.0,7.0,6.0,2489.0793238501965,35.488613307115735
300.0,8.0,2.0,2489.0793238501965,17.29857611952594
300.0,8.0,3.0,2489.0793238501965,24.7123680267547
300.0,8.0,4.0,2489.0793238501965,31.596528632096298
300.0,8.0,5.0,2489.0793238501965,38.07962455019306
300.0,8.0,6.0,2489.0793238501965,44.24317739179768
300.0,9.0,2.0,2489.0793238501965,21.313864588979225
300.0,9.0,3.0,2489.0793238501965,30.233400786638608
300.0,9.0,4.0,2489.0793238501965,38.47314459787338
300.0,9.0,5.0,2489.0793238501965,46.205253522885094
300.0,9.0,6.0,2489.0793238501965,53.533277198321805
300.0,10.0,2.0,2489.0793238501965,25.597970880110662
300.0,10.0,3.0,2489.0793238501965,36.090070384557244
300.0,10.0,4.0,2489.0793238501965,45.739825370872076
300.0,10.0,5.0,2489.0793238501965,54.76388439339998
300.0,10.0,6.0,2489.0793238501965,63.29314161392785
400.0,2.0,2.0,2620.728337170366,0.7636945947310543
400.0,2.0,3.0,2620.728337170366,1.3904708718951881
400.0,2.0,4.0,2620.728337170366,2.003003092677313
400.0,2.0,5.0,2620.728337170366,2.6017945767698207
400.0,2.0,6.0,2620.728337170366,3.1895840965865605
400.0,3.0,2.0,2620.728337170366,2.303362165488433
400.0,3.0,3.0,2620.728337170366,3.6231041281238996
400.0,3.0,4.0,2620.728337170366,4.895251322935117
400.0,3.0,5.0,2620.728337170366,6.128389653206037
400.0,3.0,6.0,2620.728337170366,7.327508385683467
400.0,4.0,2.0,2620.728337170366,4.335393002316275
400.0,4.0,3.0,2620.728337170366,6.531162777998109
400.0,4.0,4.0,2620.728337170366,8.625181368546867
400.0,4.0,5.0,2620.728337170366,10.639266051127036
400.0,4.0,6.0,2620.728337170366,12.585308801812433
400.0,5.0,2.0,2620.728337170366,6.797201038466859
400.0,5.0,3.0,2620.728337170366,10.017185450105721
400.0,5.0,4.0,2620.728337170366,13.061853770182465
400.0,5.0,5.0,2620.728337170366,15.969832821081502
400.0,5.0,6.0,2620.728337170366,18.764429574136866
400.0,6.0,2.0,2620.728337170366,9.64126010642799
400.0,6.0,3.0,2620.728337170366,14.005625857223933
400.0,6.0,4.0,2620.728337170366,18.102742833626262
400.0,6.0,5.0,2620.728337170366,21.992998800215158
400.0,6.0,6.0,2620.728337170366,25.715192898671727
400.0,7.0,2.0,2620.728337170366,12.823006577896985
400.0,7.0,3.0,2620.728337170366,18.43360346443917
400.0,7.0,4.0,2620.728337170366,23.665317900445277
400.0,7.0,5.0,2620.728337170366,28.609542019337248
400.0,7.0,6.0,2620.728337170366,33.320858118251024
400.0,8.0,2.0,2620.728337170366,16.309374671786347
400.0,8.0,3.0,2620.728337170366,23.249993736981583
400.0,8.0,4.0,2620.728337170366,29.68497941026323
400.0,8.0,5.0,2620.728337170366,35.739764239740346
400.0,8.0,6.0,2620.728337170366,41.49060976926197
400.0,9.0,2.0,2620.728337170366,20.06973960159073
400.0,9.0,3.0,2620.728337170366,28.41132495532526
400.0,9.0,4.0,2620.728337170366,36.106979003539784
400.0,9.0,5.0,2620.728337170366,43.31953960363337
400.0,9.0,6.0,2620.728337170366,50.14990069672743
400.0,10.0,2.0,2620.728337170366,24.077818572512996
400.0,10.0,3.0,2620.728337170366,33.88241484357729
400.0,10.0,4.0,2620.728337170366,42.88596949677592
400.0,10.0,5.0,2620.728337170366,51.296105508471896
400.0,10.0,6.0,2620.728337170366,59.23868502004096
500.0,2.0,2.0,2752.3773504905357,0.7493521753826539
500.0,2.0,3.0,2752.3773504905357,1.3443695268719091
500.0,2.0,4.0,2752.3773504905357,1.9251548040834314
500.0,2.0,5.0,2752.3773504905357,2.493630314119138
500.0,2.0,6.0,2752.3773504905357,3.050588606011593
500.0,3.0,2.0,2752.3773504905357,2.210861763424167
500.0,3.0,3.0,2752.3773504905357,3.4614837523132134
500.0,3.0,4.0,2752.3773504905357,4.665545481577218
500.0,3.0,5.0,2752.3773504905357,5.83135406815365
500.0,3.0,6.0,2752.3773504905357,6.965916342365625
500.0,4.0,2.0,2752.3773504905357,4.134685635401671
500.0,4.0,3.0,2752.3773504905357,6.21234793344054
500.0,4.0,4.0,2752.3773504905357,8.192699458403444
500.0,4.0,5.0,2752.3773504905357,10.09433444321361
500.0,4.0,6.0,2752.3773504905357,11.931841723200698
500.0,5.0,2.0,2752.3773504905357,6.464239242489559
500.0,5.0,3.0,2752.3773504905357,9.507016678475052
500.0,5.0,4.0,2752.3773504905357,12.38199379199537
500.0,5.0,5.0,2752.3773504905357,15.124531242145908
500.0,5.0,6.0,2752.3773504905357,17.75999469843255
500.0,6.0,2.0,2752.3773504905357,9.151876779776108
500.0,6.0,3.0,2752.3773504905357,13.272408474821127
500.0,6.0,4.0,2752.3773504905357,17.135613837521543
500.0,6.0,5.0,2752.3773504905357,20.801578304305302
500.0,6.0,6.0,2752.3773504905357,24.30743947674957
500.0,7.0,2.0,2752.3773504905357,12.15646337554996
500.0,7.0,3.0,2752.3773504905357,17.448088472615854
500.0,7.0,4.0,2752.3773504905357,22.377641677627167
500.0,7.0,5.0,2752.3773504905357,27.03159905692214
500.0,7.0,6.0,2752.3773504905357,31.46440807356944
500.0,8.0,2.0,2752.3773504905357,15.444604074010435
500.0,8.0,3.0,2752.3773504905357,21.985660500148335
500.0,8.0,4.0,2752.3773504905357,28.044027389382
500.0,8.0,5.0,2752.3773504905357,33.73931306230867
500.0,8.0,6.0,2752.3773504905357,39.145865687574286
500.0,9.0,2.0,2752.3773504905357,18.989416261033487
500.0,9.0,3.0,2752.3773504905357,26.845731668512414
500.0,9.0,4.0,2752.3773504905357,34.08455946001994
500.0,9.0,5.0,2752.3773504905357,40.86494745207543
500.0,9.0,6.0,2752.3773504905357,47.28098065306108
500.0,10.0,2.0,2752.3773504905357,22.76601284452121
500.0,10.0,3.0,2752.3773504905357,31.99249937157717
500.0,10.0,4.0,2752.3773504905357,40.45724785073151
500.0,10.0,5.0,2752.3773504905357,48.357506973499696
500.0,10.0,6.0,2752.3773504905357,55.813930254727964
600.0,2.0,2.0,2884.026363810705,0.7295368578609622
600.0,2.0,3.0,2884.026363810705,1.29664326542029
600.0,2.0,4.0,2884.026363810705,1.8491213119228787
600.0,2.0,5.0,2884.026363810705,2.389839362275008
600.0,2.0,6.0,2884.026363810705,2.9191948431049095
600.0,3.0,2.0,2884.026363810705,2.1207328829360135
600.0,3.0,3.0,2884.026363810705,3.3099823940877253
600.0,3.0,4.0,2884.026363810705,4.454143875886829
600.0,3.0,5.0,2884.026363810705,5.5618834068881196
600.0,3.0,6.0,2884.026363810705,6.638903082689411
600.0,4.0,2.0,2884.026363810705,3.950565741187582
600.0,4.0,3.0,2884.026363810705,5.923862871750263
600.0,4.0,4.0,2884.026363810705,7.803989292345717
600.0,4.0,5.0,2884.026363810705,9.608536954450676
600.0,4.0,6.0,2884.026363810705,11.351162584918386
600.0,5.0,2.0,2884.026363810705,6.1630764223666015
600.0,5.0,3.0,2884.026363810705,9.05136747793169
600.0,5.0,4.0,2884.026363810705,11.777857511970925
600.0,5.0,5.0,2884.026363810705,14.377870528065303
600.0,5.0,6.0,2884.026363810705,16.87523353086204
600.0,6.0,2.0,2884.026363810705,8.71333202828868
600.0,6.0,3.0,2884.026363810705,12.622269332266052
600.0,6.0,4.0,2884.026363810705,16.284195956652084
600.0,6.0,5.0,2884.026363810705,19.75671650642741
600.0,6.0,6.0,2884.026363810705,23.075749413437986
600.0,7.0,2.0,2884.026363810705,11.564319549261887
600.0,7.0,3.0,2884.026363810705,16.57988939233386
600.0,7.0,4.0,2884.026363810705,21.248624241210926
600.0,7.0,5.0,2884.026363810705,25.654499643712438
600.0,7.0,6.0,2884.026363810705,29.84960843086504
600.0,8.0,2.0,2884.026363810705,14.68218000162822
600.0,8.0,3.0,2884.026363810705,20.87820703820694
600.0,8.0,4.0,2884.026363810705,26.613169188862233
600.0,8.0,5.0,2884.026363810705,32.0017109621665
600.0,8.0,6.0,2884.026363810705,37.11375222282883
600.0,9.0,2.0,2884.026363810705,18.04034263757079
600.0,9.0,3.0,2884.026363810705,25.47812219036871
600.0,9.0,4.0,2884.026363810705,32.32797655720377
600.0,9.0,5.0,2884.026363810705,38.73903036752754
600.0,9.0,6.0,2884.026363810705,44.80401741756094
600.0,10.0,2.0,2884.026363810705,21.616168098976843
600.0,10.0,3.0,2884.026363810705,30.348987405167986
600.0,10.0,4.0,2884.026363810705,38.35397986344824
600.0,10.0,5.0,2884.026363810705,45.82142932250695
600.0,10.0,6.0,2884.026363810705,52.865786644631356
700.0,2.0,2.0,3015.6753771308745,0.7078545737303056
700.0,2.0,3.0,3015.6753771308745,1.2487974829682253
700.0,2.0,4.0,3015.6753771308745,1.7762567957022317
700.0,2.0,5.0,3015.6753771308745,2.2915978676430058
700.0,2.0,6.0,3015.6753771308745,2.7969099341255834
700.0,3.0,2.0,3015.6753771308745,2.0353190660441633
700.0,3.0,3.0,3015.6753771308745,3.169282466219685
700.0,3.0,4.0,3015.6753771308745,4.260892655070038
700.0,3.0,5.0,3015.6753771308745,5.316855559243386
700.0,3.0,6.0,3015.6753771308745,6.343128534646328
700.0,4.0,2.0,3015.6753771308745,3.7805940455426326
700.0,4.0,3.0,3015.6753771308745,5.661257944811823
700.0,4.0,4.0,3015.6753771308745,7.452381997533083
700.0,4.0,5.0,3015.6753771308745,9.171436532539472
700.0,4.0,6.0,3015.6753771308745,10.831080453691698
700.0,5.0,2.0,3015.6753771308745,5.889734071134254
700.0,5.0,3.0,3015.6753771308745,8.640997543016079
700.0,5.0,4.0,3015.6753771308745,11.237387500562244
700.0,5.0,5.0,3015.6753771308745,13.712558157742338
700.0,5.0,6.0,3015.6753771308745,16.088411263930464
700.0,6.0,2.0,3015.6753771308745,8.319140214984142
700.0,6.0,3.0,3015.6753771308745,12.040725379965998
700.0,6.0,4.0,3015.6753771308745,15.525652593381974
700.0,6.0,5.0,3015.6753771308745,18.82960511414886
700.0,6.0,6.0,3015.6753771308745,21.986475704486047
700.0,7.0,2.0,3015.6753771308745,11.033564506608801
700.0,7.0,3.0,3015.6753771308745,15.807167154986173
700.0,7.0,4.0,3015.6753771308745,20.24906226743519
700.0,7.0,5.0,3015.6753771308745,24.43869966428888
700.0,7.0,6.0,3015.6753771308745,28.425727957538406
700.0,8.0,2.0,3015.6753771308745,14.00166327344966
700.0,8.0,3.0,3015.6753771308745,19.89639827998234
700.0,8.0,4.0,3015.6753771308745,25.34939672238855
700.0,8.0,5.0,3015.6753771308745,30.47096040130368
700.0,8.0,6.0,3015.6753771308745,35.32932309306189
700.0,9.0,2.0,3015.6753771308745,17.197034494251685
700.0,9.0,3.0,3015.6753771308745,24.27106544525422
700.0,9.0,4.0,3015.6753771308745,30.781264177365937
700.0,9.0,5.0,3015.6753771308745,36.87307225488816
700.0,9.0,6.0,3015.6753771308745,42.63380956364955
700.0,10.0,2.0,3015.6753771308745,20.598095657578575
700.0,10.0,3.0,3015.6753771308745,28.90031729160302
700.0,10.0,4.0,3015.6753771308745,36.507469762776964
700.0,10.0,5.0,3015.6753771308745,43.60024932926882
700.0,10.0,6.0,3015.6753771308745,50.29012994909291
800.0,2.0,2.0,3147.3243904510446,0.6833379422150342
800.0,2.0,3.0,3147.3243904510446,1.2014724209226015
800.0,2.0,4.0,3147.3243904510446,1.706746426916224
800.0,2.0,5.0,3147.3243904510446,2.199968953600544
800.0,2.0,6.0,3147.3243904510446,2.6830478106320967
800.0,3.0,2.0,3147.3243904510446,1.9535549659467997
800.0,3.0,3.0,3147.3243904510446,3.039645424904158
800.0,3.0,4.0,3147.3243904510446,4.083063666464332
800.0,3.0,5.0,3147.3243904510446,5.092301332247174
800.0,3.0,6.0,3147.3243904510446,6.073375243823268
800.0,4.0,2.0,3147.3243904510446,3.623759126342017
800.0,4.0,3.0,3147.3243904510446,5.421634929818638
800.0,4.0,4.0,3147.3243904510446,7.133818859720605
800.0,4.0,5.0,3147.3243904510446,8.776329158796221
800.0,4.0,6.0,3147.3243904510446,10.36175187943487
800.0,5.0,2.0,3147.3243904510446,5.6404490733514185
800.0,5.0,3.0,3147.3243904510446,8.269719060000174
800.0,5.0,4.0,3147.3243904510446,10.749543497841005
800.0,5.0,5.0,3147.3243904510446,13.113721856596449
800.0,5.0,6.0,3147.3243904510446,15.382725420172228
800.0,6.0,2.0,3147.3243904510446,7.96214197642767
800.0,6.0,3.0,3147.3243904510446,11.51739067358425
800.0,6.0,4.0,3147.3243904510446,14.845246173762689
800.0,6.0,5.0,3147.3243904510446,17.99980051938127
800.0,6.0,6.0,3147.3243904510446,21.01309100053937
800.0,7.0,2.0,3147.3243904510446,10.555172610487478
800.0,7.0,3.0,3147.3243904510446,15.114502516084194
800.0,7.0,4.0,3147.3243904510446,19.354293485748464
800.0,7.0,5.0,3147.3243904510446,23.35362431822238
800.0,7.0,6.0,3147.3243904510446,27.15869873422139
800.0,8.0,2.0,3147.3243904510446,13.389500643483053
800.0,8.0,3.0,3147.3243904510446,19.01814740999651
800.0,8.0,4.0,3147.3243904510446,24.22232477610233
800.0,8.0,5.0,3147.3243904510446,29.109850234230738
800.0,8.0,6.0,3147.3243904510446,33.74424839503253
800.0,9.0,2.0,3147.3243904510446,16.440847215082055
800.0,9.0,3.0,3147.3243904510446,23.193365255453603
800.0,9.0,4.0,3147.3243904510446,29.40590833569668
800.0,9.0,5.0,3147.3243904510446,35.216851690047804
800.0,9.0,6.0,3147.3243904510446,40.7113697983601
800.0,10.0,2.0,3147.3243904510446,19.687519544485994
800.0,10.0,3.0,3147.3243904510446,27.611458878383083
800.0,10.0,4.0,3147.3243904510446,34.86804385124557
800.0,10.0,5.0,3147.3243904510446,41.63310157816098
800.0,10.0,6.0,3147.3243904510446,48.01203912405934
900.0,2.0,2.0,3278.9734037712137,0.6602019707407519
900.0,2.0,3.0,3278.9734037712137,1.1563746192239521
900.0,2.0,4.0,3278.9734037712137,1.6404861752968105
900.0,2.0,5.0,3278.9734037712137,2.1140130388990825
900.0,2.0,6.0,3278.9734037712137,2.5771293087126725
900.0,3.0,2.0,3278.9734037712137,1.8786752557592805
900.0,3.0,3.0,3278.9734037712137,2.9186053405288312
900.0,3.0,4.0,3278.9734037712137,3.919010437843617
900.0,3.0,5.0,3278.9734037712137,4.887013974829934
900.0,3.0,6.0,3278.9734037712137,5.826881535612625
900.0,4.0,2.0,3278.9734037712137,3.4786270740566967
900.0,4.0,3.0,3278.9734037712137,5.202611497608314
900.0,4.0,4.0,3278.9734037712137,6.8426550032742455
900.0,4.0,5.0,3278.9734037712137,8.416649895270723
900.0,4.0,6.0,3278.9734037712137,9.9355791555018
900.0,5.0,2.0,3278.9734037712137,5.411696011154018
900.0,5.0,3.0,3278.9734037712137,7.93118541618211
900.0,5.0,4.0,3278.9734037712137,10.30747830280932
900.0,5.0,5.0,3278.9734037712137,12.571666215487296
900.0,5.0,6.0,3278.9734037712137,14.745126148561994
900.0,6.0,2.0,3278.9734037712137,7.636256621734023
900.0,6.0,3.0,3278.9734037712137,11.042163269008222
900.0,6.0,4.0,3278.9734037712137,14.230462907665352
900.0,6.0,5.0,3278.9734037712137,17.250898546369065
900.0,6.0,6.0,3278.9734037712137,20.13660945792749
900.0,7.0,2.0,3278.9734037712137,10.121107793937792
900.0,7.0,3.0,3278.9734037712137,14.487440469294421
900.0,7.0,4.0,3278.9734037712137,18.54834621031378
900.0,7.0,5.0,3278.9734037712137,22.37727024875837
900.0,7.0,6.0,3278.9734037712137,26.019622267974025
900.0,8.0,2.0,3278.9734037712137,12.836344262409398
900.0,8.0,3.0,3278.9734037712137,18.22579200742654
900.0,8.0,4.0,3278.9734037712137,23.20963103209797
900.0,8.0,5.0,3278.9734037712137,27.88799492877928
900.0,8.0,6.0,3278.9734037712137,32.323587824208374
900.0,9.0,2.0,3278.9734037712137,15.758665113395992
900.0,9.0,3.0,3278.9734037712137,22.223630901403062
900.0,9.0,4.0,3278.9734037712137,28.171172249256355
900.0,9.0,5.0,3278.9734037712137,33.733516031591755
900.0,9.0,6.0,3278.9734037712137,38.991915619186315
900.0,10.0,2.0,3278.9734037712137,18.867229848023516
900.0,10.0,3.0,3278.9734037712137,26.45342899252906
900.0,10.0,4.0,3278.9734037712137,33.398873892701
900.0,10.0,5.0,3278.9734037712137,39.87336080079039
900.0,10.0,6.0,3278.9734037712137,45.977334084640646
1000.0,2.0,2.0,3410.6224170913833,0.6361540960298289
1000.0,2.0,3.0,3410.6224170913833,1.11342203704966
1000.0,2.0,4.0,3410.6224170913833,1.5788945803261565
1000.0,2.0,5.0,3410.6224170913833,2.0330447910580673
1000.0,2.0,6.0,3410.6224170913833,2.4784694100174796
1000.0,3.0,2.0,3410.6224170913833,1.8065483288325634
1000.0,3.0,3.0,3410.6224170913833,2.80643811581382
1000.0,3.0,4.0,3410.6224170913833,3.7676158808870013
1000.0,3.0,5.0,3410.6224170913833,4.697379074015552
1000.0,3.0,6.0,3410.6224170913833,5.6002326133291005
1000.0,4.0,2.0,3410.6224170913833,3.3449182326625646
1000.0,4.0,3.0,3410.6224170913833,5.00086852509487
1000.0,4.0,4.0,3410.6224170913833,6.576692166017609
1000.0,4.0,5.0,3410.6224170913833,8.08824653292796
1000.0,4.0,6.0,3410.6224170913833,9.546616141187242
1000.0,5.0,2.0,3410.6224170913833,5.201567905119933
1000.0,5.0,3.0,3410.6224170913833,7.621340646690697
1000.0,5.0,4.0,3410.6224170913833,9.903650331079561
1000.0,5.0,5.0,3410.6224170913833,12.078342902162053
1000.0,5.0,6.0,3410.6224170913833,14.16507314028798
1000.0,6.0,2.0,3410.6224170913833,7.338634660736726
1000.0,6.0,3.0,3410.6224170913833,10.609763701278327
1000.0,6.0,4.0,3410.6224170913833,13.670747207314806
1000.0,6.0,5.0,3410.6224170913833,16.57157763619791
1000.0,6.0,6.0,3410.6224170913833,19.341698740018046
1000.0,7.0,2.0,3410.6224170913833,9.724181108120378
1000.0,7.0,3.0,3410.6224170913833,13.917411143131686
1000.0,7.0,4.0,3410.6224170913833,17.817107745119312
1000.0,7.0,5.0,3410.6224170913833,21.492459782389314
1000.0,7.0,6.0,3410.6224170913833,24.98943651613799
1000.0,8.0,2.0,3410.6224170913833,12.331410299503775
